feature,importance,std
lag_7,9.416360066487538,0.07519156343171185
demand_delta_7d,8.397497284286066,0.0577332106091185
demand_accel,0.07154605053355337,0.0052521613270465365
rolling_mean_7d,0.06675760772149694,0.004080592677553209
rolling_mean_14d,0.05577188680630796,0.002957254892820067
unit_cost,0.043961134158182244,0.0038344956279797926
day_of_year,0.020029980606611614,0.0018395264323549597
roll_price_7d,0.017034725426263674,0.0037347875916318276
rolling_std_14d,0.016489053597888704,0.00204764175991045
rolling_mean_30d,0.014284579748148863,0.0011510602450965693
reorder_point,0.010894648086335829,0.002103916525594157
rolling_std_30d,0.00903808920981608,0.0009940323139210792
unit_price,0.005498003020659814,0.0016900782557976982
rolling_std_7d,0.004240836260150954,0.0006027686348642052
dow,0.0033701817798355627,0.0014489153224807366
