feature,importance
demand_to_stock_ratio,0.2542327956435731
days_of_inventory,0.17981500047796597
lead_time_coverage,0.17857942329027654
quantity_on_hand,0.08737228859691074
quantity_available,0.07000152905172591
is_zero_stock,0.02703541850566539
inventory_turnover_30d,0.023875334375814256
is_low_stock,0.020141076545664122
consec_low_stock_days,0.018684787692586986
is_holiday_period,0.015079894391832065
quantity_reserved,0.01455533947176522
is_below_reorder,0.014007010364086924
month_cos,0.011210603617445695
month,0.010892373560167293
stockout_rate_30d,0.010608939382207206
avg_stock_30d,0.008573693389161257
unit_cost_snapshot,0.006857503367800469
demand_mean_30d,0.006405718009444186
demand_std_30d,0.005779282324397129
demand_std_14d,0.005064729126834653
